Date,Member,Rides
5/3/2019,0,1095
5/4/2019,0,6780
5/5/2019,0,8780
5/6/2019,0,4561
5/7/2019,0,3113
5/8/2019,0,3267
5/9/2019,0,2374
5/10/2019,0,1224
5/11/2019,0,4587
5/12/2019,0,5500
5/13/2019,0,2107
5/14/2019,0,902
5/15/2019,0,2855
5/16/2019,0,4166
5/17/2019,0,2832
5/18/2019,0,6670
5/19/2019,0,5224
5/20/2019,0,5160
5/21/2019,0,2515
5/22/2019,0,4255
5/23/2019,0,2152
5/24/2019,0,4196
5/25/2019,0,5997
5/26/2019,0,22016
5/27/2019,0,4004
5/28/2019,0,2026
5/29/2019,0,3593
5/30/2019,0,4034
5/31/2019,0,5299
6/1/2019,0,8534
6/2/2019,0,3443
6/3/2019,0,2387
6/4/2019,0,2858
6/5/2019,0,3129
6/6/2019,0,5627
6/7/2019,0,7262
6/8/2019,0,12208
6/9/2019,0,10393
6/10/2019,0,5018
6/11/2019,0,3098
6/12/2019,0,5201
6/13/2019,0,3184
6/14/2019,0,3139
6/15/2019,0,3154
6/16/2019,0,8072
6/17/2019,0,4925
6/18/2019,0,5051
6/19/2019,0,5303
6/20/2019,0,1849
6/21/2019,0,6085
6/22/2019,0,9696
6/23/2019,0,9231
6/24/2019,0,9337
6/25/2019,0,2556
6/26/2019,0,4904
6/27/2019,0,6227
6/28/2019,0,6771
6/29/2019,0,8029
6/30/2019,0,15691
7/1/2019,0,10840
7/2/2019,0,6656
7/3/2019,0,6639
7/4/2019,0,7054
7/5/2019,0,7024
7/6/2019,0,10842
7/7/2019,0,9448
7/8/2019,0,5330
7/9/2019,0,5524
7/10/2019,0,5944
7/11/2019,0,2395
7/12/2019,0,5615
7/13/2019,0,8785
7/14/2019,0,7847
7/15/2019,0,5142
7/16/2019,0,4889
7/17/2019,0,5454
7/18/2019,0,6277
7/19/2019,0,6041
7/20/2019,0,8248
7/21/2019,0,7346
7/22/2019,0,5089
7/23/2019,0,5202
7/24/2019,0,6087
7/25/2019,0,6574
